protein	KO	enrichM_annotation
WP_124539589.1	K00962	"pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]"
WP_124705870.1	K04043	"dnaK, HSPA9; molecular chaperone DnaK"
WP_125242741.1	K03072	secD; preprotein translocase subunit SecD
AZO53005.1	K07335	"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"
RTK97250.1	K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
custom_1606357_2	K02406	fliC; flagellin
custom_2280614_1	K08720	ompU; outer membrane protein OmpU
custom_1073509_3	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
custom_1427198_4	K02109	"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"
custom_644248_3	K00012	"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
custom_20149_1	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
custom_594515_5	K06207	"typA, bipA; GTP-binding protein"
custom_2498972_2	K14260	alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
RTL27828.1	K02519	"infB, MTIF2; translation initiation factor IF-2"
custom_1093043_2	K02113	"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"
custom_1981624_6	K21563	"dnr; CRP/FNR family transcriptional regulator, dissimilatory nitrate respiration regulator"
custom_1943914_2	K02406	fliC; flagellin
custom_225979_1	K00855	"PRK, prkB; phosphoribulokinase [EC:2.7.1.19]"
custom_995073_6	K00948	"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
custom_9220_4	K01915	"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
RTL29508.1	K02674	pilY1; type IV pilus assembly protein PilY1
RTL30493.1	K04042	glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
custom_289709_1	K02305	norC; nitric oxide reductase subunit C
custom_279668_2	K04567	"KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
custom_1543912_5	K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
custom_734187_2	K00632	"fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]"
custom_1371399_4	K02670	pilU; twitching motility protein PilU
RTL33014.1	K03641	tolB; TolB protein
RTL33206.1	K02939	"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
RTL33295.1	K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
custom_665785_2	K02899	"RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
custom_828012_1	K02988	"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
custom_2245680_4	K02881	"RP-L18, MRPL18, rplR; large subunit ribosomal protein L18"
custom_2668938_30	K00798	"MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
RTL36445.1	K16090	fiu; catecholate siderophore receptor
custom_407777_3	K00384	"trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]"
custom_1160404_8	K03526	"gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"
custom_630484_6	K01892	"HARS, hisS; histidyl-tRNA synthetase [EC:6.1.1.21]"
custom_2174067_21	K03561	exbB; biopolymer transport protein ExbB
custom_2274220_1	K00566	"mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
custom_358444_16	K02660	pilJ; twitching motility protein PilJ
custom_2522921_5	K03594	bfr; bacterioferritin [EC:1.16.3.1]
custom_2125574_3	K00605	"gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]"
custom_959235_4	K15725	"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system"
custom_361808_47	K06907	K06907; uncharacterized protein
custom_1399705_35	K03285	"TC.GBP; general bacterial porin, GBP family"
RTL55541.1	K01965	"PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]"
RTL57702.1	K02470	gyrB; DNA gyrase subunit B [EC:5.6.2.2]
custom_876152_30	K01940	"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"
WP_126446303.1	K01872	"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
custom_2102799_2	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
custom_1957528_3	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
custom_2053326_2	K00074	"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
custom_1263804_2	K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
WP_127121670.1	K00248	"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
WP_127815209.1	K06997	"yggS, PROSC; PLP dependent protein"
custom_442081_9	K04077	"groEL, HSPD1; chaperonin GroEL"
custom_1930208_18	K02876	"RP-L15, MRPL15, rplO; large subunit ribosomal protein L15"
custom_492122_24	K02913	"RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33"
RWC34567.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_2547468_2	K02926	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
WP_128198914.1	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
RYE05967.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_241758_5	K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
RYH33811.1	K04488	"iscU, nifU; nitrogen fixation protein NifU and related proteins"
RYH68118.1	K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
RYY99592.1	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
custom_1435653_143	K02986	"RP-S4, rpsD; small subunit ribosomal protein S4"
RZI44368.1	K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
RZI44785.1	K07180	prkA; serine protein kinase
RZL00001.1	K11907	"vasG, clpV; type VI secretion system protein VasG"
custom_14430_1	K02927	"RP-L40e, RPL40; large subunit ribosomal protein L40e"
custom_2230386_12	K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
TAD90173.1	K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
TAF74398.1	K04564	"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
TAG34587.1	K02931	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
custom_593261_5	K02355	"fusA, GFM, EFG; elongation factor G"
TAH42745.1	K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
custom_1417459_4	K02601	nusG; transcription termination/antitermination protein NusG
TAH52643.1	K00413	"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
TAJ32927.1	K04077	"groEL, HSPD1; chaperonin GroEL"
custom_705949_3	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
TAK66595.1	K02358	"tuf, TUFM; elongation factor Tu"
TAK87399.1	K03744	lemA; LemA protein
TAK87625.1	K11900	impC; type VI secretion system protein ImpC
TAL76248.1	K01951	"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
custom_922512_30	K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
TAN52660.1	K03147	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]
WP_130968364.1	K03802	cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
WP_130997957.1	K02358	"tuf, TUFM; elongation factor Tu"
WP_131111132.1	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
custom_1105649_18	K11900	impC; type VI secretion system protein ImpC
custom_947170_13	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
custom_828381_35	K22348	moxA; manganese oxidase [EC:1.16.3.3]
custom_124181_25	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
TDQ47100.1	K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
WP_133587753.1	K14260	alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
WP_133590430.1	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
custom_461493_24	K02982	"RP-S3, rpsC; small subunit ribosomal protein S3"
WP_133590539.1	K01897	"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
WP_133595834.1	K01676	"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
custom_1712091_14	K16089	"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"
custom_2041472_3	K02666	pilQ; type IV pilus assembly protein PilQ
custom_1623800_1	K06142	"hlpA, ompH; outer membrane protein"
custom_541125_74	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
custom_1007508_2	K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
custom_2233287_5	K02911	"RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
custom_2078193_2	K02939	"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
custom_1816426_8	K00721	DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
BBG72102.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
BBG73684.1	K00088	"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
WP_135451108.1	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
custom_971479_4	K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
WP_136383560.1	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
custom_231776_3	K09458	"fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
WP_136385793.1	K02666	pilQ; type IV pilus assembly protein PilQ
custom_145868_114	K02058	ABC.SS.S; simple sugar transport system substrate-binding protein
custom_327849_21	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
custom_698462_18	K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
custom_1210350_21	K05813	ugpB; sn-glycerol 3-phosphate transport system substrate-binding protein
WP_137101346.1	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
custom_2572000_19	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_718102_23	K03762	"proP; MFS transporter, MHS family, proline/betaine transporter"
TKT73400.1	K01689	"ENO, eno; enolase [EC:4.2.1.11]"
NA	K02358	"tuf, TUFM; elongation factor Tu"
AAD43988.1	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
AAQ62397.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_2082106_9	K03704	cspA; cold shock protein
CAL93764.1	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
custom_1275164_11	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
custom_447125_4	K03981	dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]
custom_357985_47	K14652	"ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"
custom_314721_79	K04063	"osmC, ohr; lipoyl-dependent peroxidase"
EDU59653.1	K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
ACF98171.1	K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
custom_1657179_6	K03592	pmbA; PmbA protein
CCD39076.1	K02926	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
custom_2043143_2	K04078	"groES, HSPE1; chaperonin GroES"
CCG96484.1	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
EKE09909.1	K03640	pal; peptidoglycan-associated lipoprotein
custom_719480_11	K09794	K09794; uncharacterized protein
EKE16926.1	K02474	wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]
custom_1298882_4	K05594	elaB; ElaB protein
custom_2621233_8	K02952	"RP-S13, rpsM; small subunit ribosomal protein S13"
EKU98927.1	K03782	katG; catalase-peroxidase [EC:1.11.1.21]
custom_2159990_24	K03644	"lipA, LIAS, LIP1, LIP5; lipoyl synthase [EC:2.8.1.8]"
custom_476741_29	K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
custom_1372527_4	K00262	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
WP_002931714.1	K01626	"E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
custom_1435653_142	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
custom_2439126_2	K04078	"groES, HSPE1; chaperonin GroES"
custom_2601257_5	K01998	livM; branched-chain amino acid transport system permease protein
WP_004271867.1	K11645	"fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
custom_1240986_4	K00963	"UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
custom_544628_4	K04047	dps; starvation-inducible DNA-binding protein
custom_1930057_7	K01908	"ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]"
custom_815535_3	K01968	E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]
custom_1466066_43	K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
WP_005401812.1	K16091	fecA; Fe(3+) dicitrate transport protein
WP_005416450.1	K02406	fliC; flagellin
custom_1879550_2	K02358	"tuf, TUFM; elongation factor Tu"
WP_005882609.1	K02931	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
WP_006296183.1	K03070	secA; preprotein translocase subunit SecA [EC:7.4.2.8]
WP_007146917.1	K01951	"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
custom_1853075_2	K03530	hupB; DNA-binding protein HU-beta
WP_007669656.1	K03553	recA; recombination protein RecA
WP_007878603.1	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
custom_308070_6	K02600	nusA; transcription termination/antitermination protein NusA
custom_316845_76	K02874	"RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
custom_123166_6	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
WP_008315627.1	K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
WP_008598381.1	K02058	ABC.SS.S; simple sugar transport system substrate-binding protein
custom_2371057_21	K02988	"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
WP_009857733.1	K04488	"iscU, nifU; nitrogen fixation protein NifU and related proteins"
WP_010393282.1	K02871	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
WP_010805676.1	K00566	"mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
WP_011000876.1	K03522	"fixB, etfA; electron transfer flavoprotein alpha subunit"
custom_2563897_36	K03644	"lipA, LIAS, LIP1, LIP5; lipoyl synthase [EC:2.8.1.8]"
custom_458701_5	K02892	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
custom_461493_7	K02952	"RP-S13, rpsM; small subunit ribosomal protein S13"
custom_159291_4	K03704	cspA; cold shock protein
custom_848886_4	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_2590097_8	K02864	"RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10"
WP_011286327.1	K03406	mcp; methyl-accepting chemotaxis protein
custom_981462_2	K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
custom_2353269_65	K09794	K09794; uncharacterized protein
custom_2080644_2	K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
WP_011287681.1	K03770	ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
custom_1298558_8	K09458	"fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
custom_1084750_1	K01951	"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
custom_936065_12	K03072	secD; preprotein translocase subunit SecD
WP_011289618.1	K06596&K02487	NA
custom_1259549_2	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_1815445_12	K01738	cysK; cysteine synthase [EC:2.5.1.47]
WP_011500960.1	K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
WP_011764389.1	K12543	"lapE; outer membrane protein, adhesin transport system"
WP_011764879.1	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
custom_1471227_3	K04567	"KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
custom_1260292_25	K03744	lemA; LemA protein
WP_012202207.1	K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
custom_1379073_5	K00615	"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
custom_1379073_14	K01897	"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
custom_2082819_27	K02907	"RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30"
custom_1579455_2	K21395	yiaO; TRAP-type transport system periplasmic protein
custom_830780_11	K01626	"E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
custom_146844_40	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_301720_12	K00088	"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
custom_2073765_8	K00674	"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
custom_1780251_25	K06997	"yggS, PROSC; PLP dependent protein"
custom_1337747_10	K01915	"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
custom_2051367_53	K03594	bfr; bacterioferritin [EC:1.16.3.1]
custom_2573879_2	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
custom_57687_58	K03599	"sspA, mglA; stringent starvation protein A"
custom_57687_61	K00411	"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
custom_381122_32	K14393	actP; cation/acetate symporter
custom_138683_18	K01673	"cynT, can; carbonic anhydrase [EC:4.2.1.1]"
WP_012432529.1	K00820	"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"
custom_826133_4	K01991	"wza, gfcE; polysaccharide biosynthesis/export protein"
custom_760481_16	K02048	cysP; sulfate/thiosulfate transport system substrate-binding protein
custom_1142425_19	K01026	pct; propionate CoA-transferase [EC:2.8.3.1]
WP_012831206.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
WP_013215831.1	K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
WP_013215864.1	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
custom_1028947_14	K03530	hupB; DNA-binding protein HU-beta
WP_013435730.1	K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
WP_013506879.1	K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
custom_2051367_26	K16089	"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"
custom_753926_88	K11903	hcp; type VI secretion system secreted protein Hcp
custom_1574188_9	K22348	moxA; manganese oxidase [EC:1.16.3.3]
custom_500074_2	K03594	bfr; bacterioferritin [EC:1.16.3.1]
WP_014235134.1	K03704	cspA; cold shock protein
custom_1515720_1	K03147	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]
WP_014238319.1	K08738	CYC; cytochrome c
WP_014331664.1	K10439	rbsB; ribose transport system substrate-binding protein
WP_014644202.1	K01637	"E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]"
WP_015264452.1	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
WP_015279261.1	K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
custom_1128271_3	K01874	"MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]"
custom_1404887_8	K03609	minD; septum site-determining protein MinD
WP_015437481.1	K07230	"p19, ftrA; periplasmic iron binding protein"
WP_015667929.1	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
custom_32815_8	K01596	"E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
custom_1308531_6	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
custom_1348275_13	K07001	K07001; NTE family protein
custom_2059775_51	K02926	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
custom_2358772_8	K01740	metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
WP_017508866.1	K07180	prkA; serine protein kinase
WP_018181944.1	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
custom_194358_107	K02108	"ATPF0A, atpB; F-type H+-transporting ATPase subunit a"
WP_018411600.1	K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
WP_018609700.1	K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
WP_018697924.1	K08691	mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]
WP_018749726.1	K11900	impC; type VI secretion system protein ImpC
WP_018988831.1	K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
WP_018988984.1	K00666	K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]
WP_019644776.1	K01908	"ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]"
WP_019646806.1	K17865	croR; 3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
WP_019844723.1	K03782	katG; catalase-peroxidase [EC:1.11.1.21]
WP_019879827.1	K03781	"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]"
custom_194358_101	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
WP_020159118.1	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
WP_020166885.1	K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
WP_020395417.1	K02899	"RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
WP_020564490.1	K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
WP_020720409.1	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
WP_020891317.1	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
custom_1080682_3	K02952	"RP-S13, rpsM; small subunit ribosomal protein S13"
WP_022966273.1	K01870	"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]"
ERW65390.1	K09136	ycaO; ribosomal protein S12 methylthiotransferase accessory factor
custom_1375926_6	K01754	"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
custom_1699557_12	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_387542_1	K11900	impC; type VI secretion system protein ImpC
custom_1540069_1	K02952	"RP-S13, rpsM; small subunit ribosomal protein S13"
custom_1685141_2	K01740	metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
EXI67278.1	K07239	"TC.HME; heavy-metal exporter, HME family"
custom_979539_22	K03590	ftsA; cell division protein FtsA
custom_731084_2	K01803	"TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"
custom_473230_12	K03641	tolB; TolB protein
custom_2502920_9	K03640	pal; peptidoglycan-associated lipoprotein
custom_659093_6	K16147	glgE; starch synthase (maltosyl-transferring) [EC:2.4.99.16]
custom_490051_4	K17865	croR; 3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
custom_488109_5	K02892	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
custom_704821_5	K02666	pilQ; type IV pilus assembly protein PilQ
EXI78027.1	K19172	dndE; DNA sulfur modification protein DndE
custom_90046_16	K04754	"mlaA, vacJ; phospholipid-binding lipoprotein MlaA"
custom_1535094_34	K03781	"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]"
custom_2172769_21	K07220	K07220; uncharacterized protein
custom_1966787_3	K09859	K09859; uncharacterized protein
custom_442343_3	K07220	K07220; uncharacterized protein
custom_1556754_10	K03594	bfr; bacterioferritin [EC:1.16.3.1]
custom_1817107_7	K00413	"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
custom_368218_41	K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
custom_1631577_10	K01130	"E3.1.6.1, aslA; arylsulfatase [EC:3.1.6.1]"
custom_2636145_36	K05594	elaB; ElaB protein
custom_1726764_89	K01255	"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
custom_1855743_14	K02933	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
WP_024514806.1	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
WP_024930613.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_025281385.1	K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
WP_025426208.1	K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
custom_1580245_5	K03798	"ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]"
custom_906126_2	K06020	ettA; energy-dependent translational throttle protein EttA
custom_1442859_20	K02988	"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
WP_026781577.1	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
WP_027015351.1	K07516	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
custom_767647_1	K02867	"RP-L11, MRPL11, rplK; large subunit ribosomal protein L11"
custom_1901570_2	K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
custom_1216673_15	K01961	"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
custom_2241884_6	K12340	tolC; outer membrane protein
custom_2108338_9	K03070	secA; preprotein translocase subunit SecA [EC:7.4.2.8]
custom_1903824_3	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
custom_1999642_23	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
custom_2155493_9	K09458	"fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
custom_1560086_10	K03100	lepB; signal peptidase I [EC:3.4.21.89]
WP_027458600.1	K06142	"hlpA, ompH; outer membrane protein"
custom_2078354_4	K20035	dmdC; 3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-]
