protein	IPR	GO	Pfam	Interproscan_annotation	
SBT07070.1	IPR000089	-	PF00364	Biotin/lipoyl attachment	
SBT07070.1	IPR004167	GO:0016746	PF02817	Peripheral subunit-binding domain	Reactome: R-HSA-389661
WP_004251980.1	IPR001518	GO:0004055|GO:0005524|GO:0006526	PF00764	Argininosuccinate synthase	KEGG: 00220+6.3.4.5|KEGG: 00250+6.3.4.5|MetaCyc: PWY-4983|MetaCyc: PWY-4984|MetaCyc: PWY-5|MetaCyc: PWY-5154|MetaCyc: PWY-7400|Reactome: R-HSA-70635
custom_2204131_11	IPR013766	GO:0045454	PF00085	Thioredoxin domain	
WP_012585522.1	IPR008754	-	PF05572	"Peptidase M43, pregnancy-associated plasma-A"	Reactome: R-HSA-381426
custom_2230386_12	IPR020829	GO:0016620|GO:0055114	PF02800	"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain"	Reactome: R-HSA-70171|Reactome: R-HSA-70263
custom_2230386_12	IPR020828	GO:0016620|GO:0055114	PF00044	"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain"	Reactome: R-HSA-70171|Reactome: R-HSA-70263
custom_2256847_68	IPR005064	-	PF03401	Bordetella uptake gene	
custom_1553691_20	IPR020811	-	PF03952	"Enolase, N-terminal"	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004
custom_1553691_20	IPR020810	-	PF00113	"Enolase, C-terminal TIM barrel domain"	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004
WP_114401720.1	IPR001865	GO:0003735|GO:0005840|GO:0006412	PF00318	Ribosomal protein S2	
WP_079433595.1	IPR017459	-	PF02885	"Glycosyl transferase family 3, N-terminal domain"	Reactome: R-HSA-73614|Reactome: R-HSA-73621
custom_2207541_28	IPR018389	GO:0055085	PF03480	TRAP transporter solute receptor DctP/TeaA	
custom_1205086_9	IPR002510	GO:0006508|GO:0008237	PF01523	Metalloprotease TldD/PmbA	
WP_028448863.1	IPR002510	GO:0006508|GO:0008237	PF01523	Metalloprotease TldD/PmbA	
custom_482622_279	-	-	PF12836	-	
custom_1642289_8	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_203169_6	IPR006980	-	PF04896	"Ammonia monooxygenase/particulate methane monooxygenase, subunit C"	
RIX43500.1	IPR001424	GO:0006801|GO:0046872	PF00080	"Superoxide dismutase, copper/zinc binding domain"	MetaCyc: PWY-6854|Reactome: R-HSA-3299685
PHQ58449.1	IPR000192	-	PF00266	Aminotransferase class V domain	
custom_845403_5	IPR024084	GO:0016616|GO:0055114	PF00180	Isopropylmalate dehydrogenase-like domain	Reactome: R-HSA-71403
custom_427275_6	IPR007139	-	PF03993	Protein of unknown function DUF349	
custom_1937288_7	IPR021817	-	PF11880	Protein of unknown function DUF3400	
custom_1937288_7	IPR004113	GO:0003824|GO:0050660	PF02913	"FAD-linked oxidase, C-terminal"	
custom_1937288_7	IPR004113	GO:0003824|GO:0050660	PF02913	"FAD-linked oxidase, C-terminal"	
custom_1937288_7	IPR017896	-	PF13183	"4Fe-4S ferredoxin-type, iron-sulphur binding domain"	
custom_1937288_7	IPR006094	GO:0016491|GO:0050660|GO:0055114	PF01565	"FAD linked oxidase, N-terminal"	
custom_1937288_7	IPR022153	-	PF12447	Protein of unknown function DUF3683	
custom_1937288_7	IPR004017	-	PF02754	Cysteine-rich domain	
custom_1937288_7	IPR004017	-	PF02754	Cysteine-rich domain	
WP_079433093.1	IPR032858	-	PF14715	"Cbb3-type cytochrome c oxidase subunit CcoP, N-terminal"	
WP_079433093.1	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
WP_079433093.1	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
custom_187991_2	IPR000807	GO:0000105|GO:0004424	PF00475	Imidazoleglycerol-phosphate dehydratase	KEGG: 00340+4.2.1.19
custom_1795427_3	IPR002187	GO:0006808|GO:0030234	PF00543	Nitrogen regulatory protein PII	
WP_079432850.1	IPR022754	GO:0003887	PF12169	"DNA polymerase III, gamma subunit, domain III"	
WP_079432850.1	IPR021029	GO:0003887	PF12170	"DNA polymerase III, tau subunit, domain V"	
WP_079432850.1	-	-	PF13177	-	
custom_1506855_26	IPR006963	GO:0016491|GO:0055114	PF04879	"Molybdopterin oxidoreductase, 4Fe-4S domain"	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
custom_1506855_26	IPR006657	GO:0016491|GO:0043546|GO:0055114	PF01568	Molybdopterin dinucleotide-binding domain	
custom_1506855_26	IPR006656	GO:0016491|GO:0055114	PF00384	Molybdopterin oxidoreductase	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
BBG74083.1	IPR017896	-	PF13247	"4Fe-4S ferredoxin-type, iron-sulphur binding domain"	
BBG74083.1	IPR029263	-	PF14711	"Respiratory nitrate reductase beta, C-terminal"	KEGG: 00910+1.7.5.1|MetaCyc: PWY-6748
WP_007146917.1	IPR017926	-	PF00117	Glutamine amidotransferase	
WP_007146917.1	IPR022310	-	PF02540	NAD/GMP synthase	
WP_007146917.1	IPR001674	GO:0003922|GO:0005524|GO:0006164|GO:0006177	PF00958	"GMP synthase, C-terminal"	KEGG: 00230+6.3.5.2|KEGG: 00983+6.3.5.2|MetaCyc: PWY-7221|Reactome: R-HSA-73817
WP_136349914.1	IPR034907	-	PF00334	Nucleoside diphosphate kinase-like domain	KEGG: 00230+2.7.4.6|KEGG: 00240+2.7.4.6|KEGG: 00983+2.7.4.6|MetaCyc: PWY-6545|MetaCyc: PWY-7176|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7197|MetaCyc: PWY-7198|MetaCyc: PWY-7205|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7221|MetaCyc: PWY-7222|MetaCyc: PWY-7224|MetaCyc: PWY-7226|MetaCyc: PWY-7227
WP_056342529.1	IPR006099	GO:0016866|GO:0031419	PF01642	"Methylmalonyl-CoA mutase, alpha/beta chain, catalytic"	Reactome: R-HSA-196741|Reactome: R-HSA-3359475|Reactome: R-HSA-3359478|Reactome: R-HSA-71032
WP_056342529.1	-	-	PF03308	-	
WP_056342529.1	IPR006158	GO:0031419|GO:0046872	PF02310	Cobalamin (vitamin B12)-binding domain	Reactome: R-HSA-196741
SUX33145.1	IPR000891	GO:0003824	PF00682	Pyruvate carboxyltransferase	
SUX33145.1	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
custom_251529_12	IPR002187	GO:0006808|GO:0030234	PF00543	Nitrogen regulatory protein PII	
custom_310027_5	IPR006680	GO:0016787	PF04909	Amidohydrolase-related	
RMD98298.1	IPR000352	GO:0003747|GO:0006415	PF00472	Peptide chain release factor class I	
RMD98298.1	IPR005139	GO:0006415	PF03462	Peptide chain release factor	
custom_42213_38	IPR011260	GO:0003677|GO:0003899|GO:0006351	PF03118	"RNA polymerase, alpha subunit, C-terminal"	
custom_42213_38	IPR011263	GO:0003899|GO:0006351	PF01193	"DNA-directed RNA polymerase, RpoA/D/Rpb3-type"	
custom_42213_38	IPR011262	GO:0003899|GO:0006351|GO:0046983	PF01000	"DNA-directed RNA polymerase, insert domain"	
custom_289611_2	IPR004100	GO:0046034|GO:1902600	PF02874	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_289611_2	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
WP_027232877.1	IPR014826	GO:0016051|GO:0016840	PF08714	Formaldehyde-activating enzyme	KEGG: 00030+4.1.2.43|KEGG: 00680+4.2.1.147+4.1.2.43|MetaCyc: PWY-1723|MetaCyc: PWY-1861|MetaCyc: PWY-7796
RIX46750.1	IPR020980	-	PF12221	"Menbrane protein HflK, N-terminal"	
RIX46750.1	IPR001107	-	PF01145	Band 7 domain	
custom_2337782_18	IPR018667	-	PF09899	Domain of unknown function DUF2126	
custom_2337782_18	IPR002931	-	PF01841	Transglutaminase-like	
custom_2337782_18	IPR013589	-	PF08379	"Bacterial transglutaminase-like, N-terminal"	
custom_57981_256	IPR004646	GO:0016829	PF05681	"Fe-S hydro-lyase, tartrate dehydratase alpha-type, catalytic domain"	
custom_57981_256	IPR004647	GO:0016836	PF05683	"Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain"	
custom_542003_2	IPR020818	GO:0006457	PF00166	GroES chaperonin family	
SDH71037.1	IPR028971	GO:0004352|GO:0019551	PF05088	NAD-glutamate dehydrogenase	KEGG: 00220+1.4.1.2|KEGG: 00250+1.4.1.2|KEGG: 00430+1.4.1.2|KEGG: 00910+1.4.1.2|MetaCyc: PWY-5022|MetaCyc: PWY-6728|MetaCyc: PWY-7126
custom_2073365_1	IPR000218	GO:0003735|GO:0005840|GO:0006412	PF00238	Ribosomal protein L14P	
custom_507469_2	IPR002423	GO:0005524	PF00118	Chaperonin Cpn60/TCP-1 family	
custom_2319268_8	IPR022812	-	PF00350	Dynamin superfamily	
custom_1959170_4	IPR002372	-	PF01011	Pyrrolo-quinoline quinone repeat	
custom_1959170_4	IPR002372	-	PF01011	Pyrrolo-quinoline quinone repeat	
custom_1959170_4	IPR002372	-	PF13360	Pyrrolo-quinoline quinone repeat	
custom_2553183_7	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_2553183_7	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_1729460_2	IPR006016	-	PF00582	UspA	
custom_1793051_5	IPR003420	GO:0004022|GO:0015946|GO:0055114	PF02315	"Methanol dehydrogenase, beta subunit"	KEGG: 00010+1.1.2.7|KEGG: 00625+1.1.2.7|KEGG: 00680+1.1.2.7|MetaCyc: PWY-6966
custom_300539_14	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
custom_300539_14	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_300539_14	-	-	PF13715	-	
custom_441573_4	IPR001911	GO:0003735|GO:0005840|GO:0006412	PF01165	Ribosomal protein S21	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_2259121_8	IPR002505	GO:0016746	PF01515	Phosphate acetyl/butaryl transferase	KEGG: 00430+2.3.1.8|KEGG: 00620+2.3.1.8|KEGG: 00640+2.3.1.8|KEGG: 00680+2.3.1.8|KEGG: 00720+2.3.1.8|MetaCyc: PWY-1281|MetaCyc: PWY-5482|MetaCyc: PWY-5485|MetaCyc: PWY-5497|MetaCyc: PWY-6637
custom_2259121_8	IPR012302	GO:0051287	PF03949	"Malic enzyme, NAD-binding"	
custom_2259121_8	IPR012301	GO:0004471|GO:0055114	PF00390	"Malic enzyme, N-terminal domain"	
custom_2259121_8	IPR012301	GO:0004471|GO:0055114	PF00390	"Malic enzyme, N-terminal domain"	
WP_084220349.1	IPR041114	-	PF18764	"Nitrous oxide reductase, propeller repeat 1"	KEGG: 00910+1.7.2.4|MetaCyc: PWY-6748|MetaCyc: PWY-7084
custom_1182492_6	IPR005479	GO:0005524	PF02786	"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain"	
custom_1182492_6	IPR005481	-	PF00289	"Biotin carboxylase-like, N-terminal domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
custom_1182492_6	IPR005482	-	PF02785	"Biotin carboxylase, C-terminal"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
PKO33771.1	IPR039565	-	PF13525	Outer membrane lipoprotein BamD-like	
WP_100265336.1	IPR017932	-	PF00310	Glutamine amidotransferase type 2 domain	
WP_100265336.1	IPR006982	GO:0006807|GO:0015930|GO:0055114	PF04898	"Glutamate synthase, central-N"	
WP_100265336.1	IPR002489	GO:0016491|GO:0055114	PF01493	"Glutamate synthase, alpha subunit, C-terminal"	
WP_100265336.1	IPR002932	GO:0006537|GO:0015930|GO:0016638|GO:0055114	PF01645	Glutamate synthase domain	
custom_2541151_10	IPR000089	-	PF00364	Biotin/lipoyl attachment	
custom_2541151_10	IPR041265	-	PF18140	"Propionyl-coenzyme A carboxylase, BT domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599|Reactome: R-HSA-71032
custom_2541151_10	IPR005479	GO:0005524	PF02786	"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain"	
custom_2541151_10	IPR005482	-	PF02785	"Biotin carboxylase, C-terminal"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
custom_2541151_10	IPR005481	-	PF00289	"Biotin carboxylase-like, N-terminal domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
custom_820556_9	IPR001678	GO:0008168	PF01189	SAM-dependent methyltransferase RsmB/NOP2-type	
custom_2358997_24	IPR000572	GO:0042128	PF00174	"Oxidoreductase, molybdopterin-binding domain"	Reactome: R-HSA-1614517
custom_2358997_24	IPR005066	GO:0016491|GO:0030151|GO:0055114	PF03404	"Moybdenum cofactor oxidoreductase, dimerisation"	Reactome: R-HSA-1614517
WP_136180919.1	-	-	PF13433	-	
ANK80756.1	IPR003251	GO:0016491|GO:0046872|GO:0055114	PF02915	Rubrerythrin	
custom_298736_5	IPR000846	GO:0008839|GO:0009089|GO:0055114	PF01113	"Dihydrodipicolinate reductase, N-terminal"	KEGG: 00261+1.17.1.8|KEGG: 00300+1.17.1.8|MetaCyc: PWY-2941|MetaCyc: PWY-2942|MetaCyc: PWY-5097
custom_298736_5	IPR022663	GO:0008839|GO:0009089|GO:0055114	PF05173	"Dihydrodipicolinate reductase, C-terminal"	KEGG: 00261+1.17.1.8|KEGG: 00300+1.17.1.8|MetaCyc: PWY-2941|MetaCyc: PWY-2942|MetaCyc: PWY-5097
WP_026686408.1	IPR003721	GO:0004592|GO:0015940	PF02569	Pantoate-beta-alanine ligase	KEGG: 00410+6.3.2.1|KEGG: 00770+6.3.2.1
custom_298426_14	IPR009081	-	PF00550	Phosphopantetheine binding ACP domain	
custom_1435653_101	IPR019500	GO:0008239|GO:0070009	PF10459	Peptidase S46	
custom_1705608_30	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_1705608_30	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_893348_3	IPR013154	GO:0055114	PF08240	"Alcohol dehydrogenase, N-terminal"	
custom_893348_3	IPR013149	GO:0055114	PF00107	"Alcohol dehydrogenase, C-terminal"	
custom_1240089_3	IPR027802	-	PF14452	Multi-ubiquitin domain	
custom_1240089_3	IPR025701	-	PF14462	"Ubiquitin-conjugating enzyme, E2, family E"	
WP_048026004.1	IPR014731	-	PF00766	"Electron transfer flavoprotein, alpha subunit, C-terminal"	Reactome: R-HSA-611105
WP_048026004.1	IPR014730	-	PF01012	"Electron transfer flavoprotein, alpha/beta-subunit, N-terminal"	Reactome: R-HSA-611105
RYF80491.1	IPR002347	-	PF00106	Short-chain dehydrogenase/reductase SDR	
custom_2069702_8	IPR001915	GO:0004222|GO:0006508	PF01435	Peptidase M48	
custom_143518_16	IPR011112	GO:0006353	PF07498	"Rho termination factor, N-terminal"	
custom_143518_16	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_143518_16	IPR011113	GO:0003723|GO:0006353	PF07497	"Rho termination factor, RNA-binding domain"	
custom_831940_4	IPR015793	GO:0000287|GO:0004743|GO:0006096|GO:0030955	PF00224	"Pyruvate kinase, barrel"	KEGG: 00010+2.7.1.40|KEGG: 00230+2.7.1.40|KEGG: 00620+2.7.1.40|MetaCyc: PWY-1042|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7218|MetaCyc: PWY-7383|MetaCyc: PWY-8004|Reactome: R-HSA-70171
custom_831940_4	IPR015795	-	PF02887	"Pyruvate kinase, C-terminal"	KEGG: 00010+2.7.1.40|KEGG: 00230+2.7.1.40|KEGG: 00620+2.7.1.40|MetaCyc: PWY-1042|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7218|MetaCyc: PWY-7383|MetaCyc: PWY-8004|Reactome: R-HSA-70171
custom_1891985_26	IPR003400	GO:0022857|GO:0055085	PF02472	Biopolymer transport protein ExbD/TolR	
custom_1617052_19	IPR000891	GO:0003824	PF00682	Pyruvate carboxyltransferase	
custom_1617052_19	IPR013709	GO:0003852|GO:0009098	PF08502	"2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain"	KEGG: 00290+2.3.3.13|KEGG: 00620+2.3.3.13|MetaCyc: PWY-6871
custom_630910_39	IPR025110	-	PF13193	"AMP-binding enzyme, C-terminal domain"	
custom_630910_39	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
custom_630910_39	IPR032387	-	PF16177	"Acetyl-coenzyme A synthetase, N-terminal domain"	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857
custom_112_2	IPR001017	GO:0016624	PF00676	"Dehydrogenase, E1 component"	Reactome: R-HSA-389661
custom_112_2	IPR005475	-	PF02779	"Transketolase-like, pyrimidine-binding domain"	
custom_112_2	IPR032106	-	PF16078	"2-oxoglutarate dehydrogenase E1 component, N-terminal domain"	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084
custom_112_2	IPR031717	-	PF16870	"Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal"	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084
OUX17918.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
OUX17918.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
OUX17918.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_1975238_87	IPR013650	-	PF08442	"ATP-grasp fold, succinyl-CoA synthetase-type"	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403
custom_1975238_87	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
custom_316845_64	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_316845_64	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_316845_64	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_1163393_11	IPR013116	-	PF07991	"Ketol-acid reductoisomerase, N-terminal"	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111
custom_1163393_11	IPR000506	GO:0004455|GO:0009082|GO:0055114	PF01450	"Ketol-acid reductoisomerase, C-terminal"	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111
custom_738427_6	IPR005484	GO:0003735|GO:0005840|GO:0006412	PF00861	Ribosomal protein L18	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_1097944_5	IPR001509	GO:0003824|GO:0050662	PF01370	NAD-dependent epimerase/dehydratase	
custom_1235136_11	IPR001734	GO:0016020|GO:0022857|GO:0055085	PF00474	Sodium/solute symporter	
custom_382418_29	IPR001437	GO:0003677|GO:0032784	PF01272	"Transcription elongation factor, GreA/GreB, C-terminal"	
custom_382418_29	IPR022691	GO:0003677|GO:0032784	PF03449	"Transcription elongation factor, GreA/GreB, N-terminal"	
SFN13480.1	IPR006665	-	PF00691	OmpA-like domain	
SFN13480.1	IPR027385	-	PF13505	Outer membrane protein beta-barrel domain	
custom_1465685_9	IPR013154	GO:0055114	PF08240	"Alcohol dehydrogenase, N-terminal"	
custom_1465685_9	IPR013149	GO:0055114	PF00107	"Alcohol dehydrogenase, C-terminal"	
custom_1461972_33	IPR033900	GO:0015288|GO:0016020	PF13609	"Porin domain, Gram-negative type"	
WP_119334474.1	IPR023798	-	PF00177	Ribosomal protein S7 domain	
custom_1108607_13	IPR006254	GO:0004451|GO:0019752	PF00463	Isocitrate lyase	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969
custom_1108607_13	IPR006254	GO:0004451|GO:0019752	PF00463	Isocitrate lyase	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969
custom_2058868_37	IPR000644	-	PF00571	CBS domain	
custom_2248947_2	-	-	PF00656	-	
KFB74308.1	IPR002579	GO:0033743|GO:0055114	PF01641	Peptide methionine sulphoxide reductase MrsB	Reactome: R-HSA-5676934
custom_1162470_79	IPR032789	-	PF13629	"Pilus formation protein, N-terminal"	
custom_1162470_79	IPR004846	GO:0009306	PF00263	Type II/III secretion system	
custom_2436068_1	IPR020829	GO:0016620|GO:0055114	PF02800	"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain"	Reactome: R-HSA-70171|Reactome: R-HSA-70263
custom_2436068_1	IPR020828	GO:0016620|GO:0055114	PF00044	"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain"	Reactome: R-HSA-70171|Reactome: R-HSA-70263
WP_005878802.1	IPR000630	GO:0003735|GO:0005840|GO:0006412	PF00410	Ribosomal protein S8	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
WP_121240091.1	IPR010376	-	PF06155	"Gamma-butyrobetaine hydroxylase-like, N-terminal"	Reactome: R-HSA-71262
RPG83080.1	IPR001030	-	PF00330	"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"	KEGG: 00290+4.2.1.33
RPG83080.1	IPR015929	GO:0003994|GO:0006099	PF06434	"Aconitase B, swivel"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
RPG83080.1	IPR015933	GO:0003994|GO:0006099	PF11791	"Aconitase B, HEAT-like domain"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
custom_2146832_3	-	-	PF02239	-	
custom_2146832_3	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
PWT90381.1	IPR001440	GO:0005515	PF00515	Tetratricopeptide repeat 1	
PWT90381.1	IPR019734	GO:0005515	PF13181	Tetratricopeptide repeat	
PWT90381.1	-	-	PF13414	-	
PWT90381.1	-	-	PF13432	-	
PWT90381.1	-	-	PF13432	-	
PWT90381.1	-	-	PF13432	-	
PWT90381.1	IPR000719	GO:0004672|GO:0005524|GO:0006468	PF00069	Protein kinase domain	
custom_599598_2	IPR000788	GO:0006260|GO:0055114	PF02867	"Ribonucleotide reductase large subunit, C-terminal"	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|KEGG: 00983+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943
WP_014238374.1	IPR018164	GO:0000166|GO:0004813|GO:0005524|GO:0006419	PF01411	"Alanyl-tRNA synthetase, class IIc, N-terminal"	KEGG: 00970+6.1.1.7
WP_014238374.1	IPR018164	GO:0000166|GO:0004813|GO:0005524|GO:0006419	PF01411	"Alanyl-tRNA synthetase, class IIc, N-terminal"	KEGG: 00970+6.1.1.7
WP_014238374.1	IPR003156	GO:0003676	PF02272	DHHA1 domain	KEGG: 00970+6.1.1.7|Reactome: R-HSA-379716
WP_014238374.1	IPR012947	GO:0004812|GO:0005524|GO:0043039	PF07973	"Threonyl/alanyl tRNA synthetase, SAD"	
PZP29908.1	IPR015848	GO:0003723|GO:0006396	PF03726	"Polyribonucleotide nucleotidyltransferase, RNA-binding domain"	
PZP29908.1	IPR003029	GO:0003676	PF00575	S1 domain	
PZP29908.1	IPR001247	-	PF01138	"Exoribonuclease, phosphorolytic domain 1"	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226
