protein	eggNOG	eggNOG_name	eggNOG_annotation
custom_923580_1	"37UE8090,3GIMJ,4JPPN,COG2036,KOG3467"	-	protein heterodimerization activity
WP_072582832.1	"1K0VF060,1MV0Y,2VJ7Z,COG0137,COG0137"	argG	Belongs to the argininosuccinate synthase family. Type
custom_750136_1	"1RDH0,2VQNU,37239003,COG1825,COG1825"	ctc	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance
custom_1956612_270	"47JSB03,4NE51,COG1262,COG1262"	pkn1	TIGRFAM gliding motility-associated lipoprotein GldJ
WP_075147423.1	"1QFU2,2KUIS06389,2VIR6,COG2857,COG2857"	petC	Cytochrome C1
WP_075587032.1	"1KQHV066,1MX3C,2VINZ,COG1274,COG1274"	pckG	"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle"
custom_2668623_72	"1QV4W,1T28I,2DRPU,33CHX,3NTM4"	-	-
OMG54010.1	"1N5MC,2KVMP06389,2VK35,COG0446,COG0446"	soxF	sulfide dehydrogenase
custom_1497079_286	"1MUCF,2VJ2E,44VCZ,COG1158,COG1158"	rho	"Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template"
WP_076095480.1	"1MUJW,2KVP506389,2VH8B,COG4670,COG4670"	-	CoA transferase having broad substrate specificity for short-chain acyl-CoA thioesters with the activity decreasing when the length of the carboxylic acid chain exceeds four carbons
WP_076523482.1	"1MVCE,2PUW0,2TRXK,COG0045,COG0045"	sucC	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"
WP_076601781.1	"1MU20,2KUFZ06389,2VGZD,COG1960,COG1960"	acd	COG1960 Acyl-CoA dehydrogenases
WP_076912688.1	"1K05Z060,1MVC0,2VH5D,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
custom_617213_31	"1MW3J,2VHVD,4ABW50864,COG0538,COG0538"	icd	"TIGRFAM isocitrate dehydrogenase, NADP-dependent"
WP_077001766.1	"1MUE6,2VHDK,4AB950864,COG0081,COG0081"	rplA	"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release"
WP_077239469.1	"1K05Z060,1MVC0,2VH5D,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
WP_078031681.1	"1K184060,1MVBH,2VHSN,COG0542,COG0542"	clpV	"type VI secretion ATPase, ClpV1 family"
WP_078364940.1	"1MUJ8,2KUK206389,2VJIV,COG0209,COG0209"	nrdA	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
custom_1404887_6	"1MV5D,1RNJJ,COG0834,COG0834"	aapJ	Belongs to the bacterial solute-binding protein 3 family
WP_079417948.1	"1KJMG065,1MW0W,2VIJE,COG0178,COG0178"	uvrA	"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate"
WP_079418842.1	"1KJX7065,1MV57,2VHC8,COG0039,COG0039"	mdh	Catalyzes the reversible oxidation of malate to oxaloacetate
custom_1397764_3	"1RHDD,2KWAN06389,2VSDT,COG0745,COG0745"	-	cheY-homologous receiver domain
custom_2110184_5	"1MVST,2KV6306389,2VHVB,COG0612,COG0612"	MA20_05655	Belongs to the peptidase M16 family
custom_451230_1	"1MVBJ,2KVHH06389,2VI2V,COG0147,COG0147"	trpE	"Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia"
custom_2618264_4	"1MUPV,2KUC106389,2VH7F,COG0547,COG0547"	trpD	Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA)
custom_2020409_2	"1MVDV,2KUF606389,2VH9V,COG1702,COG1702"	ybeZ	phosphate starvation-inducible protein PhoH
custom_1077574_7	"1N07Y,2KUMG06389,2VJ62,COG1350,COG1350"	trpB	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine
WP_079433433.1	"COG2267,COG2267"	-	carboxylic ester hydrolase activity
custom_271471_3	"1MU20,2KUFZ06389,2VGZD,COG1960,COG1960"	acd	COG1960 Acyl-CoA dehydrogenases
custom_299415_6	"1MUM3,2KUJF06389,2VHH8,COG0855,COG0855"	ppk	Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP)
custom_199779_3	"1N66T,2KV5P06389,2VIUA,COG0233,COG0233"	frr	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another
custom_341140_5	"1RHDC,2KWP006389,2VSQE,COG0633,COG0633"	fdx	"Ferredoxin, 2Fe-2S type, ISC system"
custom_1021409_14	"1RD5K,2KWB306389,2VQ2I,COG0822,COG0822"	iscU	A scaffold on which IscS assembles Fe-S clusters. It is likely that Fe-S cluster coordination is flexible as the role of this complex is to build and then hand off Fe-S clusters
custom_1679422_5	"1MUQT,2KVHM06389,2VIXG,COG0483,COG0483"	suhB	"COG0483 Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family"
custom_1107463_5	"1MVB9,2KUVE06389,2VI1P,COG1185,COG1185"	pnp	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction
WP_079433548.1	"1MUCE,2KUDH06389,2VITB,COG1187,COG1187"	rluB	Belongs to the pseudouridine synthase RsuA family
custom_2326837_3	"1MUDP,2KUZT06389,2VHQ6,COG0403,COG0403,COG1003,COG1003"	gcvP	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor
custom_1131154_5	"1MU6J,2KU7606389,2VHEV,COG0465,COG0465"	ftsH	"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins"
custom_114760_3	"1MW8G,2KUCF06389,2VHEQ,COG0777,COG0777"	accD	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA
custom_1301557_1	"1MVYR,2KVD806389,2VHSH,COG0065,COG0065"	leuC	"Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate"
custom_2174067_15	"1MWVU,2KU9Y06389,2VIX7,COG0583,COG0583"	rbcR	Transcriptional regulator
WP_079433831.1	"1MUBM,2VHAN,COG1132,COG1132"	mdlB	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation
custom_2256836_9	"1MWBB,2KVX206389,2VJ8P,COG2414,COG2414"	aorA	aldehyde ferredoxin oxidoreductase
custom_296089_11	"1MW8U,2KVCU06389,2VHE1,COG2905,COG2905"	-	signal-transduction protein containing cAMP-binding and CBS domains
custom_1752084_2	"1MVJ8,2KUSH06389,2VHP4,COG4147,COG4147"	actP	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
WP_079434402.1	"1MUPH,2KVQ106389,2VH54,COG1207,COG1207"	glmU	"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain"
custom_2414431_2	"1MW61,2KUC306389,2VHRC,COG0282,COG0282"	ackA	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
custom_334935_4	"1MUA6,2KVC906389,2VI3M,COG0019,COG0019"	lysA	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine
custom_1326512_1	"1N6X7,2KX0506389,2WFR8,COG4575,COG4575"	-	Bacterial protein of unknown function (DUF883)
custom_2186600_3	"1MV65,2KU6W06389,2VI3N,COG1530,COG1530"	rng	"ribonuclease, Rne Rng family"
custom_630484_2	"1MZM1,2KWYA06389,2VTXK,COG1923,COG1923"	hfq	"RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs"
custom_1259257_5	"1MWE5,2KUAX06389,2VJ5G,COG0463,COG0463"	arnC	Glycosyltransferase like family 2
custom_1520863_7	"1MV91,2KUVF06389,2VIQF,COG2877,COG2877"	kdsA	Belongs to the KdsA family
custom_1280820_11	"1MV46,2KV8X06389,2VHAZ,COG0740,COG0740"	clpP	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins
WP_079435053.1	"1MVAS,2KVT706389,2VJXV,COG0845,COG0845,COG5569,COG5569"	cusB	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
custom_1523714_3	"1N6RF,2KX6E06389,2VVP5,COG0333,COG0333"	rpmF	Belongs to the bacterial ribosomal protein bL32 family
custom_2217115_6	"1MVE2,2KUW906389,2VGZV,COG2326,COG2326"	ppk2	Polyphosphate kinase 2 (PPK2)
custom_774817_3	"1MU0A,2KV7P06389,2VIYB,COG0280,COG0280,COG0281,COG0281"	maeB	Malic enzyme
custom_1801443_2	"1MV5D,2KVRG06389,2VIN1,COG0834,COG0834"	aapJ	Bacterial periplasmic substrate-binding proteins
custom_1398478_7	"1MUJF,2KV4N06389,2VHJJ,COG0172,COG0172"	serS	"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)"""
custom_903604_2	"1MU5Q,2KV8406389,2VK57,COG0722,COG0722"	aroF	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
custom_229961_2	"1RI75,2KW5X06389,2VQ1Q,COG1952,COG1952"	secB	"One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA"
custom_1161047_9	"1MVXY,2KUQS06389,2VH1E,COG0044,COG0044"	pyrC	COG0044 Dihydroorotase and related cyclic amidohydrolases
custom_1076490_26	"1MWAB,2KUTM06389,2VHG9,COG0540,COG0540"	pyrB	Belongs to the ATCase OTCase family
WP_079435926.1	"1QWTT,2KV7C06389,2WI0B,COG4772,COG4772"	-	TonB dependent receptor
custom_368211_2	"1K187060,1MX8W,2VJNH,COG0845,COG0845"	czcB	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
custom_383372_2	"1MUSR,2KVWG06389,2VGZP,COG0849,COG0849"	ftsA	Cell division protein that is involved in the assembly of the Z ring. May serve as a membrane anchor for the Z ring
custom_1323805_13	"1MUHU,2KVFV06389,2VI4R,COG1806,COG1806"	ydiA	Bifunctional serine threonine kinase and phosphorylase involved in the regulation of the phosphoenolpyruvate synthase (PEPS) by catalyzing its phosphorylation dephosphorylation
custom_2197598_9	"1Q91U,2KUFC06389,2VJJY,COG2301,COG2301"	citE	Belongs to the HpcH HpaI aldolase family
custom_2483081_1	"1MUD5,2KUMU06389,2VI9F,COG2352,COG2352"	ppc	"Forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle"
custom_743090_2	"1RDYB,2KWB206389,2VR2Q,COG0745,COG0745"	-	cheY-homologous receiver domain
custom_217307_3	"1MUG9,2KU6Y06389,2VIKN,COG0305,COG0305"	dnaB	"it exhibits DNA-dependent ATPase activity and contains distinct active sites for ATP binding, DNA binding, and interaction with DnaC protein, primase, and other prepriming proteins"
WP_079500942.1	"1K0R8060,1MUF5,2VIP3,COG0365,COG0365"	acsA	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA"
WP_079690089.1	"47MI403,4NF5M,COG0148,COG0148"	eno	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
WP_081194634.1	"1MV3C,1RMV1,1Z2GT,COG4992,COG4992"	argD	Aminotransferase class-III
custom_1884728_12	"1KQV6066,1PKUI,2VMC6,COG1538,COG1538"	-	Outer membrane efflux protein
WP_081921947.1	"1MW0Z,2VH4Z,4A9MU0864,COG0436,COG0436"	alaA	"PFAM aminotransferase, class I and II"
custom_399606_14	"1MV70,2VI1Z,371WA003,COG1858,COG1858"	ccp	PFAM Di-haem cytochrome c peroxidase
OQY03287.1	"1MU7J,2YMPE,42MWH,COG0451,COG0451"	capI	epimerase dehydratase family
WP_082354564.1	"1KIV3065,1MW98,2VI9R,COG0045,COG0045,COG1042,COG1042,COG1247,COG1247"	yfiQ	Succinyl-CoA ligase like flavodoxin domain
WP_082508676.1	"1K2U0060,1MU5C,2VKCP,COG3517,COG3517"	sciI	type VI secretion protein
custom_587637_3	"1MZCC,2KWW706389,2VTZ4,COG0828,COG0828"	rpsU	Belongs to the bacterial ribosomal protein bS21 family
custom_1092003_16	"1MUJ3,1RPAW,1X45I,COG1506,COG1506"	-	peptidase
custom_567491_27	"1MUQX,2U4JV,COG4993,COG4993"	mxaF	PQQ-like domain
WP_083733981.1	"1MWKN,2K0SD04457,2TTI2,COG1629,COG1629,COG4771"	-	"COG1629 Outer membrane receptor proteins, mostly Fe transport"
WP_083907001.1	"1MU3M,1RPYH,45ZP4,COG0086,COG0086"	rpoC	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
custom_8180_5	"1MX8P,2KV8N06389,2VH6W,COG4972,COG4972"	pilM	Pilus assembly protein
custom_564585_12	"1MU78,2KVSS06389,2VINC,COG0845,COG0845"	cmeA	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
custom_2105893_2	"1RDD2,2KVGW06389,2VQ19,COG0290,COG0290"	infC	"IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins"
WP_084220349.1	"1IQ1B,4NFNE,COG4263,COG4263"	nosZ	"PFAM Cytochrome C oxidase subunit II, periplasmic domain"
custom_1452648_67	"1MU0D,2K0GI04457,2TR7W,COG4775,COG4775"	bamA	"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
WP_086078994.1	"1NUIV,2VHCZ,3T5U206,COG3696,COG3696"	czcA	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
OUX17918.1	"1J5DE,1MVC0,1RMYX,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
WP_087734096.1	"1K40G060,1MU43,2VHYU,COG0247,COG0247,COG0277,COG0277,COG1146,COG1146"	glpCD	FAD linked oxidase domain protein
custom_1558021_23	"1RDWJ,2VR52,4ADIN0864,COG0735,COG0735"	fur	Belongs to the Fur family
custom_2067437_23	"1MZ0I,2BXCB,2VJPY,2Z8QU,4ACGR0864"	phaZ2	"Participates in the degradation of poly-3- hydroxybutyrate (PHB). It works downstream of poly(3- hydroxybutyrate) depolymerase, hydrolyzing D(-)-3-hydroxybutyrate oligomers of various length (3HB-oligomers) into 3HB-monomers"
custom_646850_4	"1N5MC,2KVMP06389,2VK35,COG0446,COG0446"	soxF	sulfide dehydrogenase
custom_2230386_12	"1KKA5065,1MU93,2VHHG,COG0057,COG0057"	gapA	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
custom_189131_3	"1MV8W,COG1629,COG1629,COG4771"	-	Receptor
custom_1891985_7	"1KJRV065,1MXEY,2VIJ2,COG2993,COG2993"	ccoO	cytochrome C oxidase
custom_59417_7	"1MXJT,2MERI,2WU5U,42Z4U,COG0542,COG0542"	clpC	"C-terminal, D2-small domain, of ClpB protein"
WP_088748318.1	"1HYUT,2NSJJ,4NFNE,COG4263,COG4263"	nosZ	Nitrous oxide reductase
WP_089356791.1	"47JXH03,4NF8D,COG0085,COG0085"	rpoB	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
WP_090190423.1	"1NUIV,2VHCZ,4728J,COG3696,COG3696"	czcA	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
custom_1366297_2	"1MZTV,2VSP6,3736X003,COG2885,COG2885"	pal	Belongs to the ompA family
custom_1991142_2	"1MV70,2VI1Z,372B5003,COG1858,COG1858"	ccpA	PFAM Di-haem cytochrome c peroxidase
custom_2045553_2	"1QFU2,2VIR6,37206003,COG2857,COG2857"	petC	Cytochrome C1 family
WP_090322841.1	"1P8CP,2W61W,371TC003,COG3303,COG3303"	hao	anaerobic respiration
WP_090415884.1	"1R6FS,28JC0,2WB8W,2Z96N,372KG003"	-	"PFAM Ammonia monooxygenase particulate methane monooxygenase, subunit B"
custom_2590435_2	"COG3074,COG3074"	zapB	FtsZ-dependent cytokinesis
WP_091909339.1	"1K3JS060,1MV8B,2VH1K,COG0542,COG0542"	clpA	Belongs to the ClpA ClpB family
custom_1993415_52	"1KQGM066,1MU5B,2VHBR,COG0104,COG0104"	purA	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
custom_1174333_36	"1MVW2,1RP7X,3NIKT,COG0605,COG0605"	sodB	Destroys radicals which are normally produced within the cells and which are toxic to biological systems
WP_092754163.1	"1MU1V,2KUIG06389,2VHNV,COG1012,COG1012"	aldA	belongs to the aldehyde dehydrogenase family
WP_092756836.1	"1RFBH,2VKB3,4A9XS0864,COG1596,COG1596"	wza	Polysaccharide biosynthesis/export protein
WP_092997584.1	"1MW9Q,2VJ1V,COG1140,COG1140"	narH	nitrate reductase beta subunit
WP_093558235.1	"1MURH,2VHYF,4723F,COG0542,COG0542"	clpB	"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE"
OXS29522.1	"1MURR,2M84Y,2WIRK,42M52,COG0459,COG0459"	groL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
WP_094034161.1	"1MUW0,2TS40,COG2041,COG2041"	msrP	"Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. The catalytic subunit MsrP is non-stereospecific, being able to reduce both (R-) and (S-) diastereoisomers of methionine sulfoxide"
custom_2557754_1	"1RGWK,2KWKR06389,2VSEZ,COG0347,COG0347"	glnB	Belongs to the P(II) protein family
custom_674524_9	"1JRJR045,1MV5Q,2TR63,COG1217,COG1217"	typA	Elongation factor Tu domain 2
OYV32593.1	"1KJZM065,1MX1V,2VH1A,COG1190,COG1190"	lysS	Belongs to the class-II aminoacyl-tRNA synthetase family
OYX39542.1	"1FB0T060,1MUC4,2TS7S,COG0085,COG0085"	rpoB	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
custom_92337_2	"1RJ4G,2D626,2KXKS06389,2VTSC,31JSA"	-	-
OYZ39850.1	"1MW0W,2KKD706350,2VIJE,COG0178,COG0178"	uvrA	"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate"
OYZ55106.1	"1KS38069,1MUCV,2VI3Q,COG0480,COG0480"	fusA	"Elongation factor G, domain IV"
OZA22043.1	"1KRCT069,1MUVV,2VHS3,COG0422,COG0422"	thiC	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction
WP_095195086.1	"1NS3T,1RMWN,COG0243,COG0243"	napA	Catalytic subunit of the nitrate reductase (NAP). Only expressed at high levels during aerobic growth. NapAB complex receives electrons from the membrane-anchored tetraheme protein NapC. Essential function for nitrate assimilation and may have a role in anaerobic metabolism
ATG85284.1	"1N3PN,2KVT206389,2VHSF,COG2010,COG2010"	nirS	Cytochrome D1 heme domain
PHS30301.1	"1MV1N,2VJTA,4ACM70864,COG1344,COG1344"	fliC	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
PHY03308.1	"COG0067,COG0067,COG0069,COG0069,COG0070,COG0070"	gltB	L-glutamate biosynthetic process
custom_2633912_2	"1G70A,1HNVZ,COG0286,COG0286"	-	PFAM N-6 DNA methylase
WP_099874184.1	"COG4637,COG4637"	-	"Psort location Cytoplasmic, score"
PIO48528.1	"1FDFQ090,COG1274,COG1274"	pckG	"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle"
PJI38023.1	"1MUKX,2JPW204441,2TS63,COG0372,COG0372"	gltA	Belongs to the citrate synthase family
custom_1672484_7	"1INW0,4NF8D,COG0085,COG0085"	rpoB	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
WP_100378545.1	"1KPRH066,1MU1N,2VH7Y,COG0148,COG0148"	eno	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
PKM16845.1	"1MWNW,1S0IA,COG5293,COG5293"	-	Uncharacterised protein conserved in bacteria (DUF2326)
custom_1852256_6	"1RAN5,2KW8606389,2VQ7A,COG0244,COG0244"	rplJ	"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors"
custom_469771_8	"1MWV2,2KV5G06389,2VMSB,COG3005,COG3005"	torC	cytochrome c-type protein
custom_2621233_11	"1MU75,2KUUZ06389,2VHG6,COG0202,COG0202"	rpoA	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
custom_738427_6	"1RGY7,2KWNI06389,2VSH0,COG0256,COG0256"	rplR	"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance"
custom_1442859_29	"1N6PR,2KXD606389,2VVNT,COG0255,COG0255"	rpmC	Belongs to the universal ribosomal protein uL29 family
custom_1962381_56	"1RHDD,2KWAN06389,2VSDT,COG0745,COG0745"	-	cheY-homologous receiver domain
PKO33971.1	"1MUR3,2KXQ706389,2VJA0,COG0410,COG0410"	-	ATPases associated with a variety of cellular activities
custom_1562197_2	"1MVRH,2KWKN06389,2VSJV,COG0712,COG0712"	atpH	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation"
PKO35392.1	"1MW54,2KUXF06389,2VIBZ,COG0702,COG0702"	-	epimerase dehydratase
PKO35408.1	"1MZHW,2KWTT06389,2VU5H,COG1544,COG1544"	hpf	sigma 54 modulation protein
custom_2098641_14	"1PCPQ,2KUNJ06389,2VMAB,COG1538,COG1538"	cebC	PFAM Outer membrane efflux protein
custom_1615754_6	"1N5HH,2CUBQ,2KWZY06389,2VUMT,32SV0"	-	Copper resistance protein
custom_2342060_16	"1QTWM,2KXEZ06389,2VU87,COG4454,COG4454"	-	Cupredoxin-like domain
custom_2157539_9	"1QTTX,2KU9J06389,2VIWS,COG5008,COG5008"	pilU	twitching motility protein
PKO40924.1	"1MU93,2VHHG,4AAB90864,COG0057,COG0057"	gapA	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
custom_2606155_5	"1MUX1,2KUNN06389,2VH4P,COG1875,COG1875"	phoH	ATPase related to phosphate starvation-inducible protein PhoH
custom_738724_16	"1MVRH,2KWKN06389,2VSJV,COG0712,COG0712"	atpH	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation"
custom_816859_6	"1N2TZ,2CM31,2KX3J06389,2VUNK,32SD0"	-	-
PKO46430.1	"1Q8PP,2KUU306389,2VJG5,COG3005,COG3005"	-	Ethylbenzene dehydrogenase
PKO56292.1	"1MW61,2KXZH06389,2VHRC,COG0282,COG0282,COG0664,COG0664,COG4869,COG4869"	ackA	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
PKO68940.1	"1MV5U,2KV1106389,2VHKD,COG0342,COG0342"	secD	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
custom_534283_3	"1MU1N,2KUEC06389,2VH7Y,COG0148,COG0148"	eno	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
PKO72503.1	"1KJ3F065,1MV5D,2VHFS,COG0834,COG0834"	-	Extracellular solute-binding protein family 3
custom_1930057_7	"1MUF5,2KV9F06389,2VI3T,COG0365,COG0365"	prpE	COG0365 Acyl-coenzyme A synthetases AMP-(fatty) acid ligases
custom_2088685_6	"1MV57,1RMAX,1X3NI,COG0039,COG0039"	mdh	Catalyzes the reversible oxidation of malate to oxaloacetate
PKO84220.1	"1MVW2,2KUV006389,2VI2Y,COG0605,COG0605"	sodB	Destroys radicals which are normally produced within the cells and which are toxic to biological systems
custom_257353_2	"1MU6U,2KUZP06389,2VJ55,COG0028,COG0028"	ilvI	"COG0028 Thiamine pyrophosphate-requiring enzymes acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase"
