contigs	genomes	go	shared name	Colouring	ES	fdr_qvalue	fwer_qvalue	Genes	GS_DESCR	gs_size	NES	pvalue	Type
"EXI90485.1,KFB77558.1,WP_011287385.1,TEX48162.1,EXI67290.1,WP_011287385.1,EXI67290.1,EXI67290.1,KFB77558.1,KFB77558.1"	"MAG-105,MAG-136,MAG-137,MAG-169,MAG-189,MAG-256,MAG-28"	GO:0003987	GO:0003987	-0.9937	-0.5535	0.1432	0.9968	WP_113039516.1|WP_004356433.1|WP_011287385.1|OYX42542.1|WP_027458181.1|WP_066879354.1|WP_094267692.1|WP_117608985.1|WP_121428293.1|RTL28235.1|WP_133591291.1|TEX48162.1|WP_079500942.1|KGA11706.1|WP_051313492.1|WP_082590223.1|WP_108515188.1|PYQ36883.1|WP_121352471.1|EXI67290.1|WP_106750131.1|WP_108176231.1|EXI90485.1|KFB77558.1|WP_016445177.1|CDW92237.1|WP_026687144.1|WP_056321934.1|WP_056881558.1|WP_062353611.1|WP_068805178.1|WP_069037425.1|WP_126768911.1|WP_130433995.1|WP_008327298.1|WP_011785686.1|SMB26786.1|WP_108420862.1|BBG72102.1|WP_012831206.1|KER84787.1|OHC63200.1|WP_100118974.1|RYF73834.1|WP_133602686.1|CDH44918.1|WP_038212960.1|WP_107729813.1|WP_124446715.1|RTL46997.1|WP_108887811.1|OIO78136.1|WP_072427658.1	acetate-CoA ligase activity	53	-1.546	0.0063	Ni
"EXI79150.1,WP_028995009.1"	"MAG-105,MAG-44"	GO:0004108	GO:0004108	-0.9986	-0.6363	0.0508	0.5156	WP_013215864.1|WP_055037836.1|WP_075187930.1|WP_007866641.1|WP_011158456.1|WP_068082899.1|TAK91950.1|WP_004651294.1|WP_108176835.1|WP_004361350.1|OGP09261.1|WP_011239598.1|WP_011288588.1|WP_056876738.1|WP_012204342.1|WP_015435441.1|WP_114401430.1|WP_128198914.1|WP_028995009.1|OFZ97010.1|OHC70316.1|WP_090702123.1|PKO90014.1|WP_117609045.1|WP_121241506.1|WP_121457279.1|RTL37413.1|TAH41053.1|TEX44640.1|WP_084269874.1|EXI78438.1|EXI68690.1|WP_020891317.1|EXI79150.1|KFB68261.1|PZR33558.1|KFB77946.1|OJY14595.1|RZI70655.1|WP_042084243.1|KPK19984.1|OIP08438.1|PJI38023.1|WP_133314182.1	citrate (Si)-synthase activity	44	-1.7303	0.0014	Ni
WP_066882891.1	MAG-165	GO:0004160	GO:0004160	0.9941	0.7539	0.1545	0.6743	WP_011236835.1|WP_050417438.1|WP_066882891.1|OYU48789.1|WP_132249930.1|OYY58949.1|WP_041547671.1|WP_015437464.1|TCW38113.1|WP_035678795.1|WP_117607631.1|RDE50182.1|WP_007680863.1|KFB70734.1|WP_004721665.1|WP_126463609.1|WP_002931890.1	dihydroxy-acid dehydratase activity	17	1.7123	0.0059	Ni
"KFB67736.1,WP_011289321.1,KFB67736.1,WP_011289321.1"	"MAG-136,MAG-165,MAG-28,MAG-44"	GO:0004332	GO:0004332	-0.9858	-0.6253	0.1516	0.9963	WP_015765413.1|WP_058718401.1|WP_116533100.1|WP_066739413.1|OJW54111.1|WP_011289321.1|WP_008452502.1|WP_054622132.1|RUQ29426.1|WP_020159118.1|KFB67736.1|WP_048670083.1|WP_056668985.1|WP_116959715.1|WP_088813028.1|TAK62445.1|RPH38226.1|WP_110256738.1|SCX09618.1|PKO70472.1|RTL28629.1|WP_004271867.1|OUU58117.1|KXS37958.1|WP_120787188.1|WP_055422581.1|PZQ33640.1|OIP82009.1	fructose-bisphosphate aldolase activity	28	-1.5528	0.0142	Ni
"EXI85937.1,KFB68016.1,KFB75670.1,KFB69642.1,KFB74183.1,KFB69642.1"	"MAG-105,MAG-136,MAG-28"	GO:0004553	GO:0004553	-0.9929	-0.7546	0.0638	0.8161	EXI85937.1|KFB69642.1|RKZ36367.1|WP_029611354.1|WP_136734941.1|SBT06169.1|KFB74183.1|EXI81048.1|KFB67156.1|KFB75670.1|SBT08608.1|WP_017871813.1|KFB68016.1|EXI73434.1|GAS94658.1|WP_012203192.1	"hydrolase activity, hydrolyzing O-glycosyl compounds"	16	-1.6637	0.0071	Ni
"KFB68186.1,KFB66257.1,KFB68186.1,KFB68186.1,WP_048674821.1,KFB68186.1,KFB68186.1,KFB68186.1,KFB66257.1,KFB68186.1"	"MAG-105,MAG-136,MAG-163,MAG-192,MAG-20,MAG-256,MAG-28"	GO:0004634	GO:0004634	-0.9959	-0.6734	0.0606	0.7516	WP_100378545.1|KFB68186.1|EXI74690.1|EXI86829.1|KFB66257.1|OLL99361.1|WP_042422614.1|OGS92337.1|OHC67264.1|WP_102041803.1|CCL39299.1|PKO71921.1|WP_106748256.1|PZP66845.1|TKT73400.1|WP_084055521.1|WP_088344563.1|SPS06403.1|WP_048674821.1|OGW34266.1|KIF33670.1|WP_079690089.1|RUQ37377.1|KXK23501.1|RUT95275.1|ODT50015.1|WP_079446987.1|OLC74155.1	phosphopyruvate hydratase activity	28	-1.6794	0.0041	Ni
"WP_027457591.1,RTL30820.1,WP_027457591.1,WP_018410904.1,WP_018410904.1"	"MAG-165,MAG-211,MAG-56"	GO:0004812	GO:0004812	0.9993	0.5357	0.1542	0.8608	WP_079436935.1|WP_004084640.1|WP_115859473.1|WP_035606034.1|WP_053171628.1|PKO36808.1|SDK69953.1|WP_079437052.1|WP_026686701.1|WP_079435811.1|AJP47391.1|WP_023398858.1|WP_079436653.1|TAH50398.1|TAJ78630.1|WP_124863951.1|WP_114481836.1|WP_027457591.1|EXI77606.1|KFB68460.1|BBG72354.1|WP_079435336.1|OGW39046.1|WP_014235783.1|WP_121240971.1|WP_043958486.1|WP_079432882.1|WP_099407460.1|WP_120997741.1|WP_050414481.1|BAO81333.1|WP_088280307.1|OYV32593.1|WP_079433649.1|PHM18746.1|WP_110526395.1|PKO34638.1|WP_022966273.1|WP_091962975.1|WP_107493691.1|WP_062537947.1|WP_079436965.1|WP_077033477.1|OJX12888.1|WP_014238374.1|RIX44692.1|CCD40799.1|WP_136220587.1|OGT10716.1|KYP10271.1|WP_126446303.1|WP_107159794.1|WP_115687782.1|PKO34735.1|WP_121459426.1|KPP96145.1|KFB77884.1|EAY62807.1|WP_028995019.1|WP_041099466.1|PKO90048.1|RTL30820.1|WP_011765220.1|WP_079435984.1|RTL28737.1|WP_075585271.1|WP_121459512.1|WP_011238311.1|WP_015434924.1|ABX34483.1|TEX48482.1|SBT07014.1|WP_110528740.1|KFB71335.1|WP_018410904.1|KFB77671.1|WP_079433563.1|EXI65372.1	aminoacyl-tRNA ligase activity	78	1.6606	7.00E-04	Ni
"WP_000813006.1,EXI89764.1,EXI88745.1,EXI85937.1,KFB68016.1,KFB77235.1,KFB77939.1,KFB69642.1,KFB75668.1,KFB77754.1,KFB67736.1,KFB77939.1,WP_011289321.1,KFB77939.1,KFB71876.1,KFB67736.1,KFB69642.1,KFB72879.1,WP_011289321.1"	"MAG-102,MAG-105,MAG-136,MAG-163,MAG-165,MAG-28,MAG-44"	GO:0005975	GO:0005975	-1	-0.5599	0.0555	0.4887	WP_000813006.1|WP_091935138.1|WP_106747153.1|PZN02503.1|WP_028500682.1|PKO83985.1|WP_011500960.1|WP_015279261.1|WP_086067986.1|CDH47300.1|WP_067661542.1|EIL97467.1|EXI81048.1|KFB67156.1|OJU29200.1|KFB75670.1|WP_004303349.1|WP_062352354.1|SBT08608.1|WP_066882616.1|WP_087281662.1|WP_062352650.1|PKO34329.1|RTL96080.1|WP_110524736.1|WP_012207472.1|WP_119283671.1|WP_114695583.1|PZR27705.1|WP_087009485.1|KFB71308.1|KFB67715.1|WP_102248399.1|WP_011289321.1|WP_008452502.1|WP_054622132.1|RUQ29426.1|WP_020159118.1|KFB67736.1|WP_048670083.1|WP_056668985.1|WP_116959715.1|KFB68016.1|WP_088813028.1|EXI73434.1|TAK62445.1|WP_110256738.1|SCX09618.1|PKO70472.1|RTL28629.1|WP_135191550.1|WP_120295782.1|WP_055422581.1|KFB71876.1|OYY58949.1|KFB77501.1|WP_066881766.1|PIV87693.1|PIX98048.1|KFB66621.1|WP_018988831.1|RTL30070.1|SIR35105.1|PZP76077.1|WP_071810841.1|WP_087686425.1|RYF24270.1|GCL66026.1|WP_087660431.1|WP_031408364.1|WP_079418842.1|OFX78209.1|KFB77939.1|WP_015765413.1|WP_058718401.1|EXI88745.1|WP_116533100.1|WP_066739413.1|OJW54111.1|WP_017871813.1|GAS94658.1|KFB74364.1|KFB77754.1|EXI85937.1|KFB69642.1|EXI89764.1|RKZ36367.1|RDE52202.1|WP_029611354.1|WP_059424682.1|WP_136734941.1|WP_015767134.1|SBT06169.1|KFB69643.1|KFB72879.1|KFB75668.1|KFB77235.1|RTL29053.1|EXI76030.1|WP_114393868.1|GBC76964.1|WP_008199426.1|WP_079685062.1|PZN56990.1|OIP82009.1	carbohydrate metabolic process	105	-1.7359	0	Ni
"EXI89332.1,KFB76033.1,WP_027458585.1,SBT04026.1,EXI93095.1,KFB76033.1"	"MAG-105,MAG-136,MAG-165,MAG-20,MAG-219,MAG-28"	GO:0006090	GO:0006090	-0.9545	-0.5819	0.2311	1	WP_015452305.1|OGU32972.1|CDH47039.1|WP_016447601.1|WP_079436687.1|WP_079689588.1|AVS95426.1|WP_111458653.1|WP_025426208.1|WP_069046760.1|WP_104799308.1|WP_119718228.1|WP_044834673.1|RQL72130.1|WP_013767690.1|WP_011239099.1|EXI89332.1|EXI93095.1|WP_027458585.1|KFB70585.1|KFB76033.1|SBT04026.1|RIX49442.1|WP_133587362.1|TEX46156.1|WP_069873608.1|OHD65405.1	pyruvate metabolic process	27	-1.4337	0.0455	Ni
"KFB68186.1,KFB66257.1,KFB67736.1,KFB75500.1,KFB68186.1,KFB68186.1,WP_011289321.1,EXI69339.1,WP_048674821.1,KFB68186.1,KFB68186.1,KFB68186.1,KFB67736.1,KFB66257.1,KFB68186.1,WP_011289321.1"	"MAG-105,MAG-136,MAG-163,MAG-165,MAG-169,MAG-192,MAG-20,MAG-256,MAG-28,MAG-44"	GO:0006096	GO:0006096	-0.9973	-0.4969	0.163	0.9988	WP_026685983.1|WP_117607706.1|WP_093489849.1|RYD14141.1|WP_034394191.1|WP_065295771.1|WP_123238152.1|WP_012585859.1|WP_079436808.1|OYU71320.1|OLL99361.1|WP_042422614.1|PZQ33640.1|OGS92337.1|OHC67264.1|WP_102041803.1|PKO71921.1|WP_106748256.1|PZP66845.1|TKT73400.1|WP_084055521.1|WP_088344563.1|SPS06403.1|WP_048674821.1|OGW34266.1|KIF33670.1|WP_079690089.1|RUQ37377.1|KXK23501.1|RUT95275.1|ODT50015.1|WP_079446987.1|OLC74155.1|EXI80837.1|WP_011289321.1|KFB76430.1|KFB69543.1|WP_008452502.1|WP_054622132.1|RUQ29426.1|WP_020159118.1|KFB67736.1|WP_048670083.1|WP_056668985.1|WP_116959715.1|KFB76976.1|WP_088813028.1|TAK62445.1|ENO90395.1|WP_011289320.1|KFB71875.1|WP_110256738.1|SCX09618.1|WP_102041087.1|WP_042696011.1|PKO70472.1|PZQ33641.1|RTL28629.1|WP_055422581.1|EXI69339.1|KFB75500.1|WP_034915631.1|KFB68027.1|WP_100378545.1|KFB68186.1|EXI74690.1|EXI86829.1|KFB66257.1|WP_011289319.1|WP_009666709.1|WP_132954529.1|ABX33474.1|TAJ23137.1|WP_049427409.1|TFG85554.1|WP_136250357.1|WP_120787188.1|CCL39299.1|AHF26009.1|WP_015765413.1|PSR11473.1|WP_058718401.1|WP_116533100.1|WP_066739413.1|OJW54111.1|OFZ89174.1|WP_090829332.1|OHC67063.1|OQW39610.1|EXI69340.1|ARX77499.1|PKM12704.1|TAK63678.1|TAN64622.1|WP_014149724.1|PKO34796.1|PHS72888.1|OIP82009.1	glycolytic process	98	-1.5249	0.0027	Ni
"KFB67410.1,WP_027458528.1,WP_050415580.1,WP_079434945.1,KFB67410.1"	"MAG-136,MAG-165,MAG-263,MAG-28"	GO:0006164	GO:0006164	0.9916	0.6029	0.1968	0.9668	WP_091940279.1|OYY97468.1|BBG73684.1|WP_136772352.1|WP_108174159.1|WP_089979786.1|WP_013803023.1|WP_027458528.1|WP_079432965.1|KFB67410.1|OJW50036.1|WP_028999183.1|PCJ90260.1|OHC66337.1|WP_079434945.1|PKO34488.1|WP_050415580.1|PZO12500.1|TAL76248.1|WP_007146917.1|WP_121458434.1|WP_011288072.1|WP_075147398.1|PPC82626.1|WP_026860900.1|OJX10338.1|WP_120234280.1|RTL31836.1|AAF84777.1|WP_071853686.1|WP_018109488.1|WP_026687973.1|AKJ29192.1	purine nucleotide biosynthetic process	33	1.6017	0.0084	Ni
"WP_027457591.1,RTL30820.1,WP_027457591.1,WP_018410904.1,WP_018410904.1"	"MAG-165,MAG-211,MAG-56"	GO:0006418	GO:0006418	1	0.5661	0.1936	0.653	WP_079436935.1|WP_004084640.1|WP_115859473.1|WP_035606034.1|WP_053171628.1|PKO36808.1|SDK69953.1|WP_079437052.1|WP_026686701.1|WP_079435811.1|AJP47391.1|WP_023398858.1|TAH50398.1|WP_079436653.1|TAJ78630.1|WP_124863951.1|WP_114481836.1|WP_027457591.1|EXI77606.1|KFB68460.1|BBG72354.1|WP_079435336.1|OGW39046.1|WP_014235783.1|WP_121240971.1|WP_043958486.1|WP_099407460.1|WP_079432882.1|WP_120997741.1|WP_050414481.1|BAO81333.1|WP_088280307.1|OYV32593.1|WP_079433649.1|PHM18746.1|WP_110526395.1|PKO34638.1|WP_022966273.1|WP_091962975.1|WP_107493691.1|WP_062537947.1|WP_079436965.1|WP_077033477.1|OJX12888.1|CCD40799.1|WP_136220587.1|KYP10271.1|KPP96145.1|KFB77884.1|EAY62807.1|WP_028995019.1|WP_041099466.1|PKO90048.1|RTL30820.1|WP_011765220.1|WP_079435984.1|RTL28737.1|WP_075585271.1|WP_011238311.1|WP_015434924.1|ABX34483.1|TEX48482.1|WP_110528740.1|WP_018410904.1|KFB71335.1|KFB77671.1|WP_079433563.1|EXI65372.1	tRNA aminoacylation for protein translation	68	1.7178	0	Ni
"WP_015768580.1,KFB78215.1"	"MAG-20,MAG-28"	GO:0006537	GO:0006537	0.9998	0.7439	0.0953	0.0837	WP_079434406.1|WP_119014034.1|WP_102245658.1|WP_117610156.1|WP_130459456.1|WP_015768580.1|WP_079434405.1|ABB07102.1|AGW92175.1|EEQ94142.1|WP_078121737.1|PHY03308.1|OZB45857.1|WP_028453473.1|WP_102040584.1|RTL38248.1|EXI82919.1|OGB53242.1|WP_026259429.1|KFB78215.1|ODU69919.1|WP_100265336.1|RTL26355.1|WP_011285986.1|PKO33941.1|WP_050417645.1|WP_121458005.1	glutamate biosynthetic process	27	1.8956	2.00E-04	Ni
"ODS60244.1,ODS60244.1,ODS60244.1"	"MAG-121,MAG-131,MAG-242"	GO:0008137	GO:0008137	0.9885	0.577	0.2338	0.994	WP_076200618.1|WP_041098133.1|OFZ84184.1|WP_088179509.1|WP_084523234.1|WP_056665801.1|WP_121429601.1|WP_021247960.1|WP_136346322.1|WP_079433698.1|BBD77440.1|VEB40909.1|RTL33295.1|WP_079433620.1|WP_027456252.1|ODS60244.1|OFW88070.1|WP_038248771.1|PKO82142.1|RTL25274.1|WP_109041271.1|EKE16576.1|EXI77970.1|SBT08745.1|OYU00436.1|EXI65413.1|AND68027.1|AJP48459.1|WP_011765135.1|WP_027456248.1|WP_090373040.1|WP_028994587.1|PKO37086.1|WP_116497214.1|RTL25836.1	NADH dehydrogenase (ubiquinone) activity	35	1.5519	0.0115	Ni
"KFB69440.1,KFB69440.1"	"MAG-136,MAG-28"	GO:0008940	GO:0008940	-0.9974	-0.557	0.127	0.9882	WP_087648738.1|BBG74083.1|WP_011397794.1|KFB69440.1|WP_070987526.1|WP_110258092.1|WP_092997584.1|TAL86698.1|WP_132542637.1|RUQ40370.1|WP_004301710.1|WP_012203041.1|WP_121428012.1|WP_014235623.1|ODS71062.1|EXI81806.1|OGV72118.1|OIP07408.1|RTL04036.1|WP_096701767.1|PKO85107.1|WP_124220621.1|WP_054965449.1|WP_116533705.1|OJY87033.1|WP_117609637.1|WP_136350261.1|WP_020564490.1|WP_090018893.1|WP_095195086.1|WP_114972116.1|WP_010463004.1|WP_012585584.1|STP13002.1|WP_015433959.1|WP_027457213.1|WP_028994809.1|WP_021249830.1|WP_026685578.1|WP_043820335.1|WP_027457638.1|ODS95854.1|WP_042414725.1|OJW48878.1|WP_079435464.1|WP_093358733.1|WP_094267261.1|WP_096450825.1|WP_109040509.1|WP_109119697.1|WP_121457220.1|WP_137098945.1|WP_056197883.1|RTL46920.1|WP_055423062.1|RTL24866.1	nitrate reductase activity	56	-1.5753	0.0026	Ni
"WP_066883726.1,WP_066883726.1,WP_066883726.1"	"MAG-165,MAG-189,MAG-211"	GO:0009086	GO:0009086	0.9689	0.6904	0.2476	0.9959	OGA32108.1|KFB71911.1|WP_081146484.1|WP_133610831.1|WP_054622354.1|KFB71765.1|WP_012207038.1|WP_128113428.1|KXJ49292.1|WP_117291661.1|WP_134600093.1|WP_066883726.1|OIP18259.1|RTL28834.1|BBF87440.1|TEX46077.1	methionine biosynthetic process	16	1.5394	0.0311	Ni
"KFB69440.1,KFB69440.1"	"MAG-136,MAG-28"	GO:0009325	GO:0009325	-1	-0.7875	0.0036	0.0039	WP_137098945.1|WP_056197883.1|RTL46920.1|WP_087648738.1|BBG74083.1|WP_011397794.1|KFB69440.1|WP_070987526.1|WP_110258092.1|WP_092997584.1|TAL86698.1|WP_132542637.1|RUQ40370.1|WP_004301710.1|WP_012203041.1|WP_121428012.1|ODS71062.1|OGV72118.1|RTL04036.1|WP_124220621.1|WP_055423062.1|WP_054965449.1|OJY87033.1|WP_020564490.1|WP_090018893.1|WP_010463004.1|WP_012585584.1|WP_027457213.1|WP_028994809.1|WP_043820335.1|RTL24866.1|ODS95854.1	nitrate reductase complex	32	-2.0124	0	Ni
"KFB77167.1,KFB77167.1,WP_027459158.1"	"MAG-136,MAG-28,MAG-44"	GO:0009678	GO:0009678	-0.977	-0.6086	0.1899	0.9999	WP_027459158.1|WP_040039379.1|OGA33678.1|OGA54848.1|OQW70483.1|WP_092933185.1|PKO46473.1|WP_106748051.1|WP_108174417.1|WP_046849784.1|WP_136383560.1|WP_062357469.1|GBD23787.1|WP_066884054.1|OJW48649.1|WP_074708295.1|WP_012807184.1|EXI84398.1|PIX96075.1|OQW94285.1|KFB77167.1|RLS34308.1|OWK18546.1|WP_082034659.1|ODT53893.1|OYU75542.1	hydrogen-translocating pyrophosphatase activity	26	-1.4971	0.023	Ni
KFB78215.1	MAG-28	GO:0015930	GO:0015930	0.9935	0.7239	0.1426	0.6888	WP_079434406.1|WP_102245658.1|WP_117610156.1|WP_130459456.1|WP_078121737.1|PHY03308.1|OZB45857.1|AGW92175.1|WP_102040584.1|EXI82919.1|OGB53242.1|WP_026259429.1|KFB78215.1|ODU69919.1|WP_100265336.1|EEQ94142.1|RTL26355.1|WP_011285986.1|WP_050417645.1	glutamate synthase activity	19	1.7087	0.0065	Ni
"EXI90485.1,KFB77558.1,WP_011287385.1,TEX48162.1,EXI67290.1,WP_011287385.1,EXI67290.1,EXI67290.1,KFB77558.1,KFB77558.1"	"MAG-105,MAG-136,MAG-137,MAG-169,MAG-189,MAG-256,MAG-28"	GO:0016208	GO:0016208	-0.9948	-0.5535	0.1449	0.9966	WP_113039516.1|WP_004356433.1|WP_011287385.1|OYX42542.1|WP_027458181.1|WP_066879354.1|WP_094267692.1|WP_117608985.1|WP_121428293.1|RTL28235.1|WP_133591291.1|TEX48162.1|WP_079500942.1|KGA11706.1|WP_051313492.1|WP_082590223.1|WP_108515188.1|PYQ36883.1|WP_121352471.1|EXI67290.1|WP_106750131.1|WP_108176231.1|EXI90485.1|KFB77558.1|WP_016445177.1|CDW92237.1|WP_026687144.1|WP_056321934.1|WP_056881558.1|WP_062353611.1|WP_068805178.1|WP_069037425.1|WP_126768911.1|WP_130433995.1|WP_008327298.1|WP_011785686.1|SMB26786.1|WP_108420862.1|BBG72102.1|WP_012831206.1|KER84787.1|OHC63200.1|WP_100118974.1|RYF73834.1|WP_133602686.1|CDH44918.1|WP_038212960.1|WP_107729813.1|WP_124446715.1|RTL46997.1|WP_108887811.1|OIO78136.1|WP_072427658.1	AMP binding	53	-1.5512	0.0052	Ni
"KFB75060.1,KXK04281.1,KFB75060.1,KXK04281.1"	"MAG-136,MAG-222,MAG-28,MAG-46"	GO:0016625	GO:0016625	-0.9967	-0.7871	0.0506	0.3925	WP_019227724.1|KFB75060.1|WP_066885384.1|PKO57203.1|WP_079433894.1|OZB12477.1|RTK97250.1|WP_069037846.1|WP_131110840.1|EXI89336.1|OIP09882.1|WP_029526790.1|KFB73396.1|KXK04281.1|WP_029000732.1|SFN35905.1|WP_048471227.1	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor"	17	-1.7562	0.0033	Ni
KFB78215.1	MAG-28	GO:0016638	GO:0016638	0.9943	0.7239	0.1298	0.7291	WP_079434406.1|WP_102245658.1|WP_117610156.1|WP_130459456.1|WP_078121737.1|PHY03308.1|OZB45857.1|AGW92175.1|WP_102040584.1|EXI82919.1|OGB53242.1|WP_026259429.1|KFB78215.1|ODU69919.1|WP_100265336.1|EEQ94142.1|RTL26355.1|WP_011285986.1|WP_050417645.1	"oxidoreductase activity, acting on the CH-NH2 group of donors"	19	1.6995	0.0057	Ni
WP_015768580.1	MAG-20	GO:0016639	GO:0016639	0.9836	0.6506	0.2142	0.9838	WP_119014034.1|WP_015768580.1|WP_079434405.1|KXK23987.1|WP_010806805.1|WP_026769605.1|ABB07102.1|WP_004342699.1|WP_013801081.1|OQW83199.1|WP_027456550.1|WP_055892111.1|WP_070528401.1|WP_028453473.1|WP_108948184.1|RTL38248.1|WP_002924997.1|PIF43629.1|WP_028454485.1|WP_008904533.1|PKO33941.1|WP_121458005.1	"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	22	1.5795	0.0164	Ni
"EXI90689.1,KFB74895.1,KFB74895.1,KFB74895.1,WP_137098281.1,KFB74895.1,RTK98005.1,KFB74895.1"	"MAG-105,MAG-136,MAG-163,MAG-169,MAG-204,MAG-20,MAG-220,MAG-28"	GO:0018454	GO:0018454	-0.9988	-0.6245	0.0627	0.7472	WP_062590256.1|KFB74895.1|SBT06690.1|WP_088382570.1|PKP68941.1|WP_112993160.1|GCL61065.1|WP_042822737.1|OYU49894.1|WP_129635243.1|WP_004259356.1|WP_004266007.1|WP_066879382.1|WP_055423698.1|WP_069037386.1|OHC72288.1|OJX17264.1|WP_076092920.1|WP_079436675.1|PKO37690.1|TAK80989.1|WP_117608680.1|WP_014237572.1|WP_015436736.1|WP_027458166.1|RPJ44264.1|RTK98005.1|RYF80491.1|TEX48147.1|CDH47611.1|PZQ52337.1|WP_137098281.1|WP_034994456.1|WP_079436674.1|WP_124219361.1|WP_008121844.1|PKO83537.1|WP_105998743.1|WP_108893374.1|WP_024516532.1|EXI90689.1|WP_048670196.1	acetoacetyl-CoA reductase activity	42	-1.6805	0.0012	Ni
"EXI90485.1,KFB77558.1,WP_011287385.1,TEX48162.1,EXI67290.1,WP_011287385.1,EXI67290.1,EXI67290.1,KFB77558.1,KFB77558.1"	"MAG-105,MAG-136,MAG-137,MAG-169,MAG-189,MAG-256,MAG-28"	GO:0019427	GO:0019427	-0.9965	-0.5535	0.1482	0.9963	WP_113039516.1|WP_004356433.1|WP_011287385.1|OYX42542.1|WP_027458181.1|WP_066879354.1|WP_094267692.1|WP_117608985.1|WP_121428293.1|RTL28235.1|WP_133591291.1|TEX48162.1|WP_079500942.1|KGA11706.1|WP_051313492.1|WP_082590223.1|WP_108515188.1|PYQ36883.1|WP_121352471.1|EXI67290.1|WP_106750131.1|WP_108176231.1|EXI90485.1|KFB77558.1|WP_016445177.1|CDW92237.1|WP_026687144.1|WP_056321934.1|WP_056881558.1|WP_062353611.1|WP_068805178.1|WP_069037425.1|WP_126768911.1|WP_130433995.1|WP_008327298.1|WP_011785686.1|SMB26786.1|WP_108420862.1|BBG72102.1|WP_012831206.1|KER84787.1|OHC63200.1|WP_100118974.1|RYF73834.1|WP_133602686.1|CDH44918.1|WP_038212960.1|WP_107729813.1|WP_124446715.1|RTL46997.1|WP_108887811.1|OIO78136.1|WP_072427658.1	acetyl-CoA biosynthetic process from acetate	53	-1.552	0.0035	Ni
"WP_004908491.1,EXI88854.1,KFB66912.1,WP_015765720.1"	"MAG-102,MAG-105,MAG-136,MAG-189"	GO:0034220	GO:0034220	-0.9544	-0.5985	0.232	1	WP_004908491.1|RTL35171.1|WP_029707408.1|WP_056067771.1|WP_069039407.1|WP_062032607.1|RTL02469.1|WP_015765720.1|EXI66302.1|WP_027457674.1|EXI88854.1|WP_119041637.1|RTL02468.1|KFB66912.1|RTL29481.1|WP_014235289.1|KFB73572.1|OJW52383.1|WP_083522852.1|WP_020163549.1|WP_129167265.1|ODU09449.1|RTL35205.1|WP_012584828.1	ion transmembrane transport	24	-1.4408	0.0456	Ni
"KFB69440.1,KFB69440.1"	"MAG-136,MAG-28"	GO:0042126	GO:0042126	-1	-0.7875	0.002	0.0044	WP_137098945.1|WP_056197883.1|RTL46920.1|WP_087648738.1|BBG74083.1|WP_011397794.1|KFB69440.1|WP_070987526.1|WP_110258092.1|WP_092997584.1|TAL86698.1|WP_132542637.1|RUQ40370.1|WP_004301710.1|WP_012203041.1|WP_121428012.1|ODS71062.1|OGV72118.1|RTL04036.1|WP_124220621.1|WP_055423062.1|WP_054965449.1|OJY87033.1|WP_020564490.1|WP_090018893.1|WP_010463004.1|WP_012585584.1|WP_027457213.1|WP_028994809.1|WP_043820335.1|ODS95854.1	nitrate metabolic process	31	-2.0063	0	Ni
"EXI79150.1,WP_028995009.1"	"MAG-105,MAG-44"	GO:0046912	GO:0046912	-0.9932	-0.553	0.1454	0.9968	OHE60758.1|OGP09261.1|PKO85690.1|WP_101944400.1|WP_126459205.1|WP_056876738.1|WP_014238527.1|WP_114401430.1|WP_018952948.1|WP_128198914.1|WP_029939899.1|WP_012206661.1|WP_084269874.1|OJY14595.1|RZI70655.1|WP_042084243.1|KPK19984.1|OIP08438.1|OLB54551.1|PJI38023.1|WP_133314182.1|WP_013215864.1|WP_055037836.1|WP_075187930.1|WP_007866641.1|WP_011158456.1|WP_068082899.1|TAK91950.1|WP_004651294.1|WP_108176835.1|WP_004361350.1|WP_011239598.1|WP_011288588.1|WP_012204342.1|WP_015435441.1|WP_028995009.1|OFZ97010.1|OHC70316.1|WP_090702123.1|PKO90014.1|WP_117609045.1|WP_121241506.1|WP_121457279.1|RTL37413.1|TAH41053.1|TEX44640.1|EXI78438.1|EXI68690.1|WP_020891317.1|EXI79150.1|KFB68261.1|PZR33558.1|KFB77946.1	"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer"	53	-1.5474	0.0068	Ni
